x,Curve1,Curve2
161.4,0,0.93
161.6,0,0.955
161.9,0,0.96
162.0,0,0.97
162.0124,0.00936,0.97343
162.0492,0.02242,0.97487
162.1524,0.05833,0.98204
162.1568,0.05981,0.9827
162.2436,0.08797,1.00356
162.3012,0.10499,1.02153
162.3288,0.11265,1.03165
162.4023,0.13293,1.06751
162.4457,0.14641,1.09257
162.4846,0.16523,1.1177
162.5049,0.17953,1.1321
162.5728,0.21695,1.18761
162.5901,0.22471,1.20393
162.6551,0.24801,1.26887
162.6901,0.25709,1.30222
162.7433,0.26783,1.35371
162.7716,0.27591,1.38347
162.8256,0.31589,1.44154
162.8493,0.33689,1.46471
162.9021,0.38305,1.50786
162.9903,0.46615,1.56343
163.0197,0.49874,1.58
163.0784,0.57752,1.61064
163.1123,0.59284,1.62673
163.1637,0.56469,1.65008
163.2456,0.49426,1.68589
163.2489,0.49147,1.68713
163.3283,0.43966,1.70745
163.3456,0.44234,1.71015
163.3826,0.42955,1.71453
163.4253,0.34416,1.71643
163.5105,0.16849,1.70867
163.5714,0.04572,1.7078
163.5928,0.00763,1.70988
163.6566,0.04573,1.72376
163.6751,0.06086,1.7308
163.7369,0.10017,1.77143
163.8221,0.14581,1.83477
163.901,0.18727,1.89714
163.9162,0.19578,1.90826
164.0073,0.27735,1.96682
164.0677,0.45223,2.00206
164.0808,0.5248,2.00686
164.1778,0.889,2.02061
164.2308,0.8888,2.01937
164.2601,0.85962,2.01824
164.3512,0.71847,2.01944
164.4364,0.57011,2.01587
164.5129,0.44602,2.00334
164.5981,0.32902,1.99081
164.6833,0.2422,1.95975
164.7268,0.21147,1.92794
164.748,0.20008,1.91137
164.8332,0.17491,1.86419
164.9331,0.17936,1.82777
165.0125,0.20334,1.79492
165.1095,0.2525,1.76985
165.1712,0.29339,1.75313
165.274,0.37474,1.72447
165.2971,0.39446,1.71748
165.3593,0.44341,1.6964
165.4193,0.39974,1.67476
165.4445,0.38414,1.66655
165.5327,0.34696,1.64326
165.6032,0.32434,1.62714
165.7031,0.29771,1.60983
165.7304,0.29141,1.60703
165.856,0.26644,1.59671
165.9616,0.23698,1.5871
165.9674,0.23499,1.58683
166.0992,0.18558,1.58475
166.2158,0.14139,1.58619
166.3265,0.10558,1.60008
166.3348,0.10358,1.60138
166.4445,0.11044,1.61989
166.508,0.14475,1.63167
166.5751,0.17769,1.64456
166.7127,0.25257,1.66545
166.8117,0.32694,1.66569
166.8457,0.35967,1.66499
166.9414,0.46558,1.66595
167.016,0.54026,1.6579
167.0747,0.56934,1.65809
167.1117,0.56421,1.65934
167.226,0.45683,1.66742
167.2894,0.37819,1.68012
167.3667,0.30483,1.69939
167.4505,0.25288,1.72449
167.493,0.23672,1.74232
167.5299,0.22904,1.75676
167.6136,0.22149,1.78097
167.6152,0.22093,1.78146
167.6974,0.22097,1.80846
167.7412,0.25858,1.81787
167.7944,0.31805,1.82192
167.9619,0.53087,1.81507
168.0449,0.63647,1.80224
168.1251,0.72515,1.78463
168.219,0.76144,1.76218
168.3014,0.70447,1.74493
168.3967,0.60943,1.72811
168.5086,0.50027,1.70941
168.579,0.43437,1.70318
168.6892,0.33776,1.70372
168.7971,0.26342,1.70274
168.8447,0.24671,1.69963
168.8648,0.24493,1.69706
168.9589,0.29974,1.69674
168.9651,0.30496,1.69636
169.1307,0.44013,1.67742
169.2016,0.47948,1.66961
169.245,0.487,1.66629
169.2987,0.47314,1.66251
169.3558,0.45452,1.65189
169.3943,0.46024,1.64545
169.483,0.47794,1.6412
169.5706,0.46885,1.6396
169.6136,0.45539,1.63861
169.7256,0.40537,1.63768
169.876,0.32176,1.64244
169.988,0.25457,1.64862
170.018,0.23636,1.65049
